T,TM,Tm,H,PP,VV,V,VM,PM_2_5
20.8,23.6,18.3,82.0,0.0,6.9,4.6,9.4,185.95833333333331
22.8,29.2,18.5,63.0,0.0,6.3,3.1,7.6,239.125
22.6,29.7,15.9,47.0,0.0,6.3,0.7,5.4,365.2916666666667
22.7,28.1,19.6,72.0,0.0,4.2,1.1,5.4,121.33333333333331
22.6,28.5,18.4,63.0,0.0,6.0,4.6,9.4,202.875
22.2,29.3,17.1,66.0,0.0,6.0,5.7,7.6,260.1666666666667
21.0,26.0,15.3,63.0,0.0,6.3,6.7,9.4,277.7083333333333
22.1,28.0,17.2,58.0,0.0,6.3,3.1,5.4,284.1666666666667
22.0,28.8,16.0,56.0,0.0,6.3,4.3,7.6,288.4166666666667
20.4,28.5,16.6,72.0,0.0,6.0,0.9,3.5,166.91666666666666
21.6,28.0,16.2,57.0,0.0,6.3,4.8,7.6,169.0
20.6,29.2,15.5,57.0,0.0,5.8,4.6,5.4,186.04166666666663
22.2,28.4,16.6,53.0,0.0,7.7,0.9,5.4,255.875
22.2,29.0,18.4,62.0,0.0,6.0,3.9,5.4,239.1304347826087
20.4,27.2,15.2,52.0,0.0,6.3,4.1,7.6,298.4583333333333
20.1,27.2,14.8,50.0,0.0,6.9,6.5,7.6,264.9166666666667
21.2,26.6,15.5,59.0,0.0,6.3,6.7,9.4,422.0869565217391
23.4,30.6,17.6,48.0,0.0,6.3,4.1,5.4,323.1428571428572
23.3,31.0,16.3,42.0,0.0,5.8,2.8,11.1,263.6
22.4,30.7,16.3,49.0,0.0,6.3,3.3,7.6,376.9166666666667
20.9,28.5,14.3,46.0,0.0,6.3,4.1,7.6,97.71428571428572
22.7,29.1,17.1,48.0,0.0,6.3,2.0,5.4,202.91666666666663
21.9,29.8,16.2,44.0,0.0,6.3,2.6,7.6,205.125
21.3,29.0,16.0,53.0,0.0,6.9,4.4,11.1,214.125
21.4,29.2,15.0,42.0,0.0,6.9,5.2,9.4,315.7916666666667
21.9,29.6,13.2,26.0,0.0,6.9,3.1,7.6,322.25
22.6,30.4,15.9,30.0,0.0,8.5,5.4,9.4,246.04166666666663
21.7,30.1,15.8,32.0,0.0,6.9,6.3,11.1,209.65217391304347
23.3,32.3,20.2,67.0,0.51,6.3,3.0,5.4,103.82608695652172
23.3,30.0,19.2,54.0,0.0,6.9,2.4,5.4,143.91666666666666
24.4,30.2,19.7,61.0,0.0,6.9,1.5,5.4,104.6086956521739
23.5,30.2,18.5,49.0,0.0,6.3,5.0,11.1,165.0
23.3,29.9,17.9,58.0,0.0,6.9,5.6,7.6,116.45833333333331
23.4,30.7,17.4,60.0,0.0,6.3,5.7,7.6,143.0
24.3,32.1,16.8,34.0,0.0,6.3,5.0,9.4,231.125
22.8,32.2,17.4,39.0,0.0,6.9,7.4,18.3,276.2105263157895
24.2,31.5,17.5,31.0,0.0,6.9,5.4,11.1,211.0
24.7,31.2,17.3,34.0,0.0,7.4,6.9,11.1,139.22222222222223
25.0,32.0,17.8,34.0,0.0,6.9,3.9,5.4,204.54545454545453
25.2,32.7,18.2,28.0,0.0,6.9,5.9,11.1,130.16666666666666
25.2,33.2,18.2,26.0,0.0,6.9,5.2,7.6,123.125
25.5,32.5,18.3,25.0,0.0,6.9,4.8,7.6,120.91666666666669
25.7,33.2,17.5,21.0,0.0,6.9,2.4,5.4,153.625
25.5,34.6,16.5,29.0,0.0,7.7,7.0,11.1,130.33333333333334
25.4,33.5,18.5,25.0,0.0,6.9,5.7,9.4,110.70833333333331
26.2,33.3,17.8,27.0,0.0,6.9,5.9,7.6,138.5
25.8,32.5,20.1,57.0,0.0,6.9,4.1,7.6,75.75
26.5,31.6,22.4,50.0,0.0,6.9,4.8,11.1,146.54166666666666
25.8,32.1,21.6,60.0,0.0,6.9,4.6,11.1,174.9375
25.6,31.0,19.6,39.0,0.0,7.4,2.8,48.2,80.04166666666667
26.7,33.8,19.5,37.0,0.0,6.9,2.4,5.4,100.04166666666669
27.4,33.7,21.4,44.0,0.0,6.9,2.2,3.5,109.45833333333331
27.3,33.4,21.7,43.0,0.0,7.7,3.9,7.6,110.16666666666669
27.1,34.1,20.8,34.0,0.0,6.9,3.3,7.6,108.20833333333331
27.4,34.4,21.5,42.0,0.0,6.9,3.3,5.4,103.83333333333331
25.9,34.8,21.1,60.0,3.3,6.3,4.1,9.4,74.29166666666667
27.6,33.2,21.2,54.0,0.0,6.9,2.0,7.6,101.79166666666669
24.7,33.5,20.6,72.0,0.0,6.9,2.2,5.4,106.16666666666669
26.1,33.1,19.8,55.0,13.72,7.4,0.7,3.5,89.875
26.7,33.5,21.6,51.0,0.0,8.5,3.1,5.4,48.208333333333336
26.4,32.6,21.0,47.0,0.0,6.9,5.0,7.6,47.04166666666666
26.2,32.7,21.0,49.0,0.0,6.9,5.2,7.6,67.79166666666667
27.6,33.5,21.7,51.0,0.0,6.9,5.9,11.1,56.66666666666666
28.3,34.0,23.1,50.0,0.0,6.9,5.2,7.6,79.0
28.2,34.6,23.9,52.0,0.0,7.7,3.9,7.6,123.58333333333331
27.9,34.8,23.9,63.0,1.02,6.9,2.0,7.6,80.29166666666667
25.5,34.0,22.8,63.0,17.02,6.9,1.1,5.4,137.875
28.2,34.8,22.2,51.0,0.0,7.4,1.1,3.5,87.875
26.6,34.0,22.2,63.0,3.81,6.9,3.1,7.6,121.20833333333331
27.2,34.4,22.8,62.0,0.51,6.9,4.1,5.4,97.04166666666669
28.3,34.7,22.0,51.0,0.51,9.2,2.8,9.4,96.08695652173913
26.9,35.2,21.4,64.0,5.59,6.3,5.0,11.1,130.625
26.5,33.0,23.3,73.0,0.0,7.7,4.8,9.4,90.5
25.9,34.0,20.0,72.0,0.76,6.9,3.0,9.4,55.41666666666666
27.8,33.5,23.4,57.0,0.0,6.9,3.9,7.6,108.33333333333331
25.9,33.5,22.8,70.0,0.0,6.9,3.7,9.4,198.875
27.2,32.8,21.8,59.0,0.0,6.9,4.1,9.4,120.70833333333331
24.9,32.0,21.5,74.0,0.0,7.4,1.1,37.0,60.54166666666666
23.8,32.0,21.0,78.0,17.78,6.9,1.9,5.4,79.0
24.8,31.4,20.6,63.0,16.51,6.3,0.9,3.5,133.70833333333334
25.2,32.4,20.5,65.0,8.64,6.9,2.6,9.4,65.16666666666667
24.1,32.4,21.5,77.0,0.0,6.3,3.1,11.1,83.58333333333333
23.5,32.0,21.4,89.0,33.02,6.3,4.1,7.6,40.66666666666666
25.0,29.8,21.1,78.0,3.05,5.5,2.4,5.4,48.125
26.0,30.8,22.2,71.0,0.0,6.9,2.2,5.4,103.16666666666669
25.6,29.7,20.9,77.0,10.41,7.7,6.7,9.4,143.375
24.4,30.3,21.8,83.0,0.0,6.6,3.5,5.4,44.79166666666666
23.8,31.0,20.9,81.0,1.52,5.5,3.9,7.6,75.08695652173913
23.7,29.8,20.8,83.0,1.78,6.9,6.5,7.6,60.0
23.9,30.1,21.7,79.0,0.0,6.9,12.0,14.8,101.0
23.3,29.0,21.2,83.0,0.0,6.3,11.9,16.5,76.20833333333333
22.0,25.8,20.7,86.0,3.81,6.6,12.8,14.8,88.0
24.1,28.3,20.8,77.0,4.06,6.3,11.3,14.8,48.833333333333336
23.2,27.9,21.0,84.0,4.06,6.3,7.8,11.1,85.94444444444444
23.8,29.6,20.5,77.0,16.0,6.9,6.5,9.4,113.70588235294116
23.8,28.9,20.1,74.0,0.0,6.9,12.8,14.8,74.76190476190476
23.4,29.1,20.7,78.0,0.0,6.9,12.6,14.8,62.47619047619048
23.5,28.0,20.9,79.0,0.0,6.9,9.1,11.1,78.54166666666667
23.5,27.8,20.1,77.0,0.0,6.9,8.3,11.1,49.125
23.1,28.1,20.2,75.0,0.0,6.9,11.9,16.5,83.21052631578948
21.9,28.0,20.1,86.0,5.08,6.9,10.0,14.8,79.0
24.2,29.5,20.6,75.0,0.0,6.9,9.4,14.8,233.26315789473685
24.4,30.2,20.7,68.0,0.51,6.9,8.1,11.1,233.9333333333333
22.9,26.3,20.5,82.0,0.0,6.9,11.3,16.5,117.17391304347828
22.4,26.4,20.3,86.0,0.0,8.0,6.7,9.4,66.13636363636364
22.8,26.4,20.7,85.0,1.02,6.9,8.7,14.8,71.0
22.2,27.4,20.5,86.0,0.0,7.7,10.9,14.8,283.2307692307692
22.4,26.5,20.3,86.0,4.57,6.9,8.5,11.1,269.9166666666667
23.6,27.2,20.4,74.0,1.78,6.9,10.0,13.0,162.25
23.0,28.6,21.0,79.0,0.0,6.9,14.8,25.9,104.5
23.0,27.0,20.4,77.0,0.0,6.9,14.6,22.2,226.41176470588235
22.7,26.9,20.3,83.0,0.0,8.5,14.8,18.3,159.0
23.3,28.2,20.2,82.0,1.02,6.9,9.1,14.8,31.45833333333333
23.7,28.8,20.6,79.0,0.0,6.9,8.9,11.1,47.375
23.3,27.3,20.5,76.0,0.0,6.9,10.9,16.5,38.16666666666666
23.1,28.3,20.3,81.0,4.83,6.9,10.0,22.2,35.958333333333336
21.9,27.2,19.4,85.0,5.33,5.5,8.7,18.3,27.363636363636363
23.6,28.0,18.7,77.0,14.99,6.9,9.6,22.2,45.833333333333336
23.3,28.6,20.8,76.0,0.0,6.9,8.5,16.5,33.708333333333336
21.9,27.7,19.7,84.0,11.43,7.4,11.1,14.8,26.416666666666668
22.0,25.4,20.0,88.0,3.56,5.5,8.3,13.0,30.666666666666668
23.4,27.6,20.2,76.0,8.89,6.3,9.8,18.3,29.95833333333333
21.7,24.6,19.4,85.0,3.3,7.4,10.2,18.3,23.875
21.9,25.0,19.6,88.0,1.02,5.5,10.0,22.2,22.33333333333333
22.2,25.7,20.1,87.0,6.35,5.5,7.6,11.1,25.08333333333333
23.3,27.4,20.7,77.0,0.0,6.3,13.1,18.3,66.79166666666667
22.8,27.3,20.2,78.0,0.0,6.9,11.7,18.3,64.875
23.3,27.4,19.7,72.0,0.0,6.9,10.6,18.3,47.583333333333336
23.7,27.8,19.8,75.0,41.66,6.9,8.3,11.1,42.31578947368421
22.4,28.5,20.0,83.0,0.0,6.3,6.3,14.8,43.04166666666666
21.9,28.3,19.5,86.0,8.38,6.3,6.7,11.1,38.41666666666666
23.3,28.8,20.3,78.0,19.81,7.4,6.9,11.1,49.29166666666666
23.7,28.3,20.0,73.0,0.0,6.9,6.5,11.1,19.541666666666668
23.8,28.2,20.3,71.0,0.25,6.6,7.8,9.4,22.83333333333333
24.7,29.3,19.7,61.0,0.0,6.9,6.5,9.4,25.347826086956523
24.4,29.2,20.3,63.0,0.0,6.9,8.7,14.8,74.66666666666667
24.3,29.1,20.1,66.0,0.0,6.9,7.8,14.8,41.875
25.7,30.0,20.5,59.0,0.0,6.9,5.4,9.4,50.583333333333336
25.0,31.6,22.3,72.0,0.25,6.9,1.9,3.5,58.125
24.8,30.3,20.4,69.0,33.02,6.3,1.5,5.4,57.29166666666666
23.9,31.7,20.1,77.0,16.0,6.6,2.0,5.4,38.25
22.7,29.1,19.5,81.0,13.97,6.3,5.0,9.4,56.91666666666666
23.5,28.4,20.0,71.0,0.0,6.3,5.7,9.4,54.625
23.9,28.2,18.4,64.0,0.0,6.9,4.8,7.6,42.875
23.7,30.3,19.9,79.0,32.26,5.5,0.4,3.5,43.333333333333336
25.1,29.2,21.3,72.0,1.27,6.9,3.5,5.4,41.875
25.3,29.9,21.4,69.0,4.32,6.9,3.7,7.6,44.41666666666666
25.5,30.9,21.6,73.0,0.25,6.9,5.2,7.6,62.9375
24.2,28.2,20.2,70.0,7.87,6.9,3.3,5.4,91.5
24.1,29.5,20.8,72.0,0.0,6.3,3.1,3.5,70.70833333333333
24.3,29.5,20.6,65.0,4.32,6.3,1.5,5.4,51.79166666666666
24.0,30.3,21.0,75.0,1.02,6.9,3.1,3.5,21.384615384615383
23.4,29.8,20.1,82.0,3.81,6.9,0.4,3.5,13.0
24.4,28.7,20.2,71.0,1.02,7.4,3.1,3.5,156.25
23.8,29.3,19.7,58.0,0.0,6.9,3.1,3.5,178.28571428571428
23.7,29.0,19.7,60.0,0.0,6.3,5.0,7.6,158.3913043478261
23.9,30.2,18.2,58.0,0.0,5.5,5.0,9.4,252.625
23.8,29.3,18.7,58.0,0.0,6.6,4.6,7.6,119.41666666666669
23.4,29.5,18.2,51.0,0.0,6.9,3.7,7.6,126.0
24.8,30.1,19.7,64.0,0.0,6.3,4.6,11.1,232.33333333333331
24.3,30.4,20.0,65.0,0.0,6.3,3.9,5.4,215.54166666666663
22.9,30.3,19.8,78.0,0.0,6.6,5.2,5.4,239.41666666666663
22.8,27.7,20.4,81.0,0.51,5.5,8.1,14.8,196.54166666666663
23.3,30.0,18.0,48.0,0.0,6.9,3.9,7.6,232.54166666666663
22.2,29.6,16.0,60.0,0.0,6.9,3.0,5.4,185.5
23.4,29.2,17.5,58.0,0.0,6.3,5.0,7.6,282.1666666666667
22.4,30.0,16.2,44.0,0.0,6.9,1.3,3.5,268.8695652173913
23.0,30.5,14.8,44.0,0.0,6.9,0.9,3.5,166.875
23.3,31.0,16.5,68.0,0.0,6.9,5.4,7.6,135.16666666666666
22.6,27.6,19.2,70.0,0.0,4.8,3.1,5.4,135.58333333333334
22.2,28.8,18.0,66.0,0.0,5.6,3.3,5.4,152.04166666666666
20.8,29.0,16.3,64.0,0.0,5.0,5.0,9.4,212.125
21.8,29.5,18.0,62.0,0.0,6.3,4.3,9.4,70.0625
21.8,28.3,15.6,56.0,0.0,6.9,4.6,7.6,91.75
21.7,28.8,18.2,67.0,0.0,6.9,3.3,7.6,104.2608695652174
22.3,29.3,18.3,70.0,0.0,6.8,3.1,5.4,119.70833333333331
22.5,28.2,17.7,72.0,0.0,6.8,4.8,7.6,110.875
23.1,29.4,17.6,62.0,0.0,5.8,5.2,11.1,200.33333333333331
22.3,29.9,18.7,70.0,0.0,6.0,3.0,9.4,203.58333333333331
22.8,28.9,17.7,59.0,0.0,5.3,3.1,5.4,60.2
21.8,28.9,17.7,59.0,0.0,6.3,7.0,9.4,97.85714285714286
21.6,28.5,16.0,67.0,0.0,6.3,3.1,11.1,349.2916666666667
22.2,27.7,17.7,63.0,0.0,6.9,2.8,7.6,188.04166666666663
22.7,28.4,18.1,65.0,0.0,6.3,3.9,5.4,310.25
23.4,29.1,18.4,62.0,0.0,6.0,5.7,9.4,258.1578947368421
23.8,30.2,17.7,56.0,0.0,5.5,6.1,9.4,223.25
24.0,31.4,19.0,63.0,0.0,6.3,5.4,7.6,248.95833333333331
20.3,27.6,14.0,42.0,0.0,7.1,4.4,9.4,276.4
19.9,28.1,12.4,45.0,0.0,6.9,4.8,7.6,146.79166666666666
20.2,27.6,13.1,41.0,0.0,6.8,4.8,7.6,113.875
20.8,28.6,14.7,55.0,0.0,6.0,4.3,5.4,227.0
21.3,29.3,15.2,44.0,0.0,6.3,4.6,7.6,231.25
21.3,29.6,13.2,40.0,0.0,6.3,3.5,3.5,272.125
21.5,28.8,14.3,47.0,0.0,6.0,3.9,7.6,228.79166666666663
20.7,30.3,14.5,53.0,0.0,6.0,3.9,5.4,200.875
21.2,29.3,12.3,34.0,0.0,6.9,4.8,9.4,214.04166666666663
21.8,29.0,14.3,39.0,0.0,6.3,3.9,5.4,217.25
21.3,30.3,13.7,39.0,0.0,6.3,5.2,11.1,212.45833333333331
21.3,28.6,14.8,44.0,0.0,6.9,4.1,5.4,202.66666666666663
23.3,30.2,17.2,54.0,0.0,6.3,4.6,9.4,138.79166666666666
23.3,30.0,18.8,63.0,0.0,6.0,4.6,9.4,153.08333333333334
23.2,30.2,19.0,65.0,0.0,5.5,1.5,5.4,159.70833333333334
21.7,29.4,16.4,54.0,0.0,6.3,5.9,9.4,151.875
21.4,28.2,15.7,55.0,0.0,6.3,4.8,7.6,224.79166666666663
22.4,27.8,16.3,57.0,0.0,6.3,5.2,7.6,185.34782608695653
22.9,29.6,16.6,59.0,0.0,6.9,4.8,9.4,149.625
24.4,31.1,18.3,55.0,0.0,6.9,3.3,5.4,161.16666666666666
26.4,31.8,20.4,51.0,0.0,6.3,3.0,5.4,136.75
23.7,32.6,20.2,73.0,57.91,6.3,3.0,9.4,76.375
23.1,29.0,17.3,52.0,0.0,6.8,4.3,5.4,120.20833333333331
24.6,30.4,17.2,51.0,0.0,7.7,5.7,11.1,137.125
